,Trade,Amount,timestamp,profit_to_date,capacity
0,Buy,50.0,2016-01-01 21:00:00,-31.61,50.0
1,Buy,50.0,2016-01-01 21:30:00,-62.3,100.0
2,Sell,50.0,2016-01-02 12:00:00,-32.193,50.0
3,Sell,50.0,2016-01-02 12:30:00,-2.766000000000002,0.0
4,Buy,50.0,2016-01-02 21:00:00,-36.316,50.0
5,Buy,50.0,2016-01-02 21:30:00,-69.356,100.0
6,Sell,50.0,2016-01-03 12:00:00,-42.708499999999994,50.0
7,Sell,50.0,2016-01-03 12:30:00,-15.992999999999995,0.0
8,Buy,50.0,2016-01-03 21:00:00,-48.29299999999999,50.0
9,Buy,50.0,2016-01-03 21:30:00,-80.31299999999999,100.0
10,Sell,50.0,2016-01-04 12:00:00,-51.812499999999986,50.0
11,Sell,50.0,2016-01-04 12:30:00,-23.736999999999984,0.0
12,Buy,50.0,2016-01-04 21:00:00,-57.05699999999999,50.0
13,Buy,50.0,2016-01-04 21:30:00,-88.817,100.0
14,Sell,50.0,2016-01-05 12:00:00,-56.431999999999995,50.0
15,Sell,50.0,2016-01-05 12:30:00,-23.83449999999999,0.0
16,Buy,50.0,2016-01-05 21:00:00,-59.07449999999999,50.0
17,Buy,50.0,2016-01-05 21:30:00,-95.0145,100.0
18,Sell,50.0,2016-01-06 12:00:00,-61.5075,50.0
19,Sell,50.0,2016-01-06 12:30:00,-28.9865,0.0
20,Buy,50.0,2016-01-06 21:00:00,-64.06649999999999,50.0
21,Buy,50.0,2016-01-06 21:30:00,-98.91649999999998,100.0
22,Sell,50.0,2016-01-07 12:00:00,-65.68149999999999,50.0
23,Sell,50.0,2016-01-07 12:30:00,-32.361499999999985,0.0
24,Buy,50.0,2016-01-07 21:00:00,-65.54149999999998,50.0
25,Buy,50.0,2016-01-07 21:30:00,-98.60149999999999,100.0
26,Sell,50.0,2016-01-08 12:00:00,-63.904499999999985,50.0
27,Sell,50.0,2016-01-08 12:30:00,-31.077499999999986,0.0
28,Buy,50.0,2016-01-08 21:00:00,-66.63749999999999,50.0
29,Buy,50.0,2016-01-08 21:30:00,-101.94749999999999,100.0
30,Sell,50.0,2016-01-09 12:00:00,-73.03049999999999,50.0
31,Sell,50.0,2016-01-09 12:30:00,-44.27499999999999,0.0
32,Buy,50.0,2016-01-09 21:00:00,-77.655,50.0
33,Buy,50.0,2016-01-09 21:30:00,-110.58500000000001,100.0
34,Sell,50.0,2016-01-10 12:00:00,-82.95150000000001,50.0
35,Sell,50.0,2016-01-10 12:30:00,-55.22450000000001,0.0
36,Buy,50.0,2016-01-10 21:00:00,-88.55450000000002,50.0
37,Buy,50.0,2016-01-10 21:30:00,-121.12450000000001,100.0
38,Sell,50.0,2016-01-11 12:00:00,-81.846,50.0
39,Sell,50.0,2016-01-11 12:30:00,-42.465500000000006,0.0
40,Buy,50.0,2016-01-11 21:00:00,-78.6455,50.0
41,Buy,50.0,2016-01-11 21:30:00,-114.2955,100.0
42,Sell,50.0,2016-01-12 12:00:00,-88.12400000000001,50.0
43,Sell,50.0,2016-01-12 12:30:00,-61.68050000000001,0.0
44,Buy,50.0,2016-01-12 21:00:00,-95.1705,50.0
45,Buy,50.0,2016-01-12 21:30:00,-128.3605,100.0
46,Sell,50.0,2016-01-13 12:00:00,-95.321,50.0
47,Sell,50.0,2016-01-13 12:30:00,-61.4655,0.0
48,Buy,50.0,2016-01-13 21:00:00,-96.0955,50.0
49,Buy,50.0,2016-01-13 21:30:00,-130.2955,100.0
50,Sell,50.0,2016-01-14 12:00:00,-101.387,50.0
51,Sell,50.0,2016-01-14 12:30:00,-72.572,0.0
52,Buy,50.0,2016-01-14 21:00:00,-106.34200000000001,50.0
53,Buy,50.0,2016-01-14 21:30:00,-139.512,100.0
54,Sell,50.0,2016-01-15 12:00:00,-111.258,50.0
55,Sell,50.0,2016-01-15 12:30:00,-83.786,0.0
56,Buy,50.0,2016-01-15 21:00:00,-119.036,50.0
57,Buy,50.0,2016-01-15 21:30:00,-154.316,100.0
58,Sell,50.0,2016-01-16 12:00:00,-113.9495,50.0
59,Sell,50.0,2016-01-16 12:30:00,-76.626,0.0
60,Buy,50.0,2016-01-16 21:00:00,-110.106,50.0
61,Buy,50.0,2016-01-16 21:30:00,-143.396,100.0
62,Sell,50.0,2016-01-17 12:00:00,-95.71099999999998,50.0
63,Sell,50.0,2016-01-17 12:30:00,-47.575499999999984,0.0
64,Buy,50.0,2016-01-17 21:00:00,-80.93549999999999,50.0
65,Buy,50.0,2016-01-17 21:30:00,-112.71549999999999,100.0
66,Sell,50.0,2016-01-18 12:00:00,-80.3135,50.0
67,Sell,50.0,2016-01-18 12:30:00,-48.107000000000006,0.0
68,Buy,50.0,2016-01-18 21:00:00,-83.727,50.0
69,Buy,50.0,2016-01-18 21:30:00,-117.18700000000001,100.0
70,Sell,50.0,2016-01-19 12:00:00,-82.52400000000002,50.0
71,Sell,50.0,2016-01-19 12:30:00,-48.98300000000002,0.0
72,Buy,50.0,2016-01-19 21:00:00,-88.27300000000002,50.0
73,Buy,50.0,2016-01-19 21:30:00,-122.93300000000002,100.0
74,Sell,50.0,2016-01-20 12:00:00,-85.97500000000002,50.0
75,Sell,50.0,2016-01-20 12:30:00,-49.71400000000003,0.0
76,Buy,50.0,2016-01-20 21:00:00,-84.32400000000003,50.0
77,Buy,50.0,2016-01-20 21:30:00,-117.88400000000003,100.0
78,Sell,50.0,2016-01-21 12:00:00,-87.43700000000003,50.0
79,Sell,50.0,2016-01-21 12:30:00,-57.09200000000003,0.0
80,Buy,50.0,2016-01-21 21:00:00,-91.32200000000003,50.0
81,Buy,50.0,2016-01-21 21:30:00,-124.73200000000003,100.0
82,Sell,50.0,2016-01-22 12:00:00,-96.47800000000002,50.0
83,Sell,50.0,2016-01-22 12:30:00,-68.28350000000002,0.0
84,Buy,50.0,2016-01-22 21:00:00,-101.09350000000002,50.0
85,Buy,50.0,2016-01-22 21:30:00,-133.5935,100.0
86,Sell,50.0,2016-01-23 12:00:00,-105.24600000000001,50.0
87,Sell,50.0,2016-01-23 12:30:00,-77.23850000000002,0.0
88,Buy,50.0,2016-01-23 21:00:00,-110.44850000000002,50.0
89,Buy,50.0,2016-01-23 21:30:00,-143.3385,100.0
90,Sell,50.0,2016-01-24 12:00:00,-112.96800000000002,50.0
91,Sell,50.0,2016-01-24 12:30:00,-82.28300000000002,0.0
92,Buy,50.0,2016-01-24 21:00:00,-115.71300000000002,50.0
93,Buy,50.0,2016-01-24 21:30:00,-147.59300000000002,100.0
94,Sell,50.0,2016-01-25 12:00:00,-124.15000000000002,50.0
95,Sell,50.0,2016-01-25 12:30:00,-101.02150000000002,0.0
96,Buy,50.0,2016-01-25 21:00:00,-134.18150000000003,50.0
97,Buy,50.0,2016-01-25 21:30:00,-165.50150000000002,100.0
98,Sell,50.0,2016-01-26 12:00:00,-139.72100000000003,50.0
99,Sell,50.0,2016-01-26 12:30:00,-114.14450000000004,0.0
100,Buy,50.0,2016-01-26 21:00:00,-147.22450000000003,50.0
101,Buy,50.0,2016-01-26 21:30:00,-178.40450000000004,100.0
102,Sell,50.0,2016-01-27 12:00:00,-150.60100000000006,50.0
103,Sell,50.0,2016-01-27 12:30:00,-123.68150000000006,0.0
104,Buy,50.0,2016-01-27 21:00:00,-156.23150000000004,50.0
105,Buy,50.0,2016-01-27 21:30:00,-188.78150000000005,100.0
106,Sell,50.0,2016-01-28 12:00:00,-163.36650000000006,50.0
107,Sell,50.0,2016-01-28 12:30:00,-138.01100000000005,0.0
108,Buy,50.0,2016-01-28 21:00:00,-171.77100000000004,50.0
109,Buy,50.0,2016-01-28 21:30:00,-204.36100000000005,100.0
110,Sell,50.0,2016-01-29 12:00:00,-173.71000000000004,50.0
111,Sell,50.0,2016-01-29 12:30:00,-143.89200000000005,0.0
112,Buy,50.0,2016-01-29 21:00:00,-176.54200000000006,50.0
113,Buy,50.0,2016-01-29 21:30:00,-206.83200000000005,100.0
114,Sell,50.0,2016-01-30 12:00:00,-178.54400000000004,50.0
115,Sell,50.0,2016-01-30 12:30:00,-150.84250000000003,0.0
116,Buy,50.0,2016-01-30 21:00:00,-184.33250000000004,50.0
117,Buy,50.0,2016-01-30 21:30:00,-217.33250000000004,100.0
118,Sell,50.0,2016-01-31 12:00:00,-181.96400000000006,50.0
119,Sell,50.0,2016-01-31 12:30:00,-147.27550000000005,0.0
120,Buy,50.0,2016-01-31 21:00:00,-181.59550000000004,50.0
121,Buy,50.0,2016-01-31 21:30:00,-215.48550000000006,100.0
122,Sell,50.0,2016-02-01 12:00:00,-179.19900000000007,50.0
123,Sell,50.0,2016-02-01 12:30:00,-143.12500000000006,0.0
124,Buy,50.0,2016-02-01 21:00:00,-180.13500000000005,50.0
125,Buy,50.0,2016-02-01 21:30:00,-215.04500000000004,100.0
126,Sell,50.0,2016-02-02 12:00:00,-190.16550000000004,50.0
127,Sell,50.0,2016-02-02 12:30:00,-165.76200000000003,0.0
128,Buy,50.0,2016-02-02 21:00:00,-198.65200000000004,50.0
129,Buy,50.0,2016-02-02 21:30:00,-230.93200000000004,100.0
130,Sell,50.0,2016-02-03 12:00:00,-205.87400000000005,50.0
131,Sell,50.0,2016-02-03 12:30:00,-180.86700000000005,0.0
132,Buy,50.0,2016-02-03 21:00:00,-217.13700000000006,50.0
133,Buy,50.0,2016-02-03 21:30:00,-252.36700000000005,100.0
134,Sell,50.0,2016-02-04 12:00:00,-225.32850000000005,50.0
135,Sell,50.0,2016-02-04 12:30:00,-197.36350000000004,0.0
136,Buy,50.0,2016-02-04 21:00:00,-230.45350000000005,50.0
137,Buy,50.0,2016-02-04 21:30:00,-263.23350000000005,100.0
138,Sell,50.0,2016-02-05 12:00:00,-239.85000000000005,50.0
139,Sell,50.0,2016-02-05 12:30:00,-216.73850000000004,0.0
140,Buy,50.0,2016-02-05 21:00:00,-248.60850000000005,50.0
141,Buy,50.0,2016-02-05 21:30:00,-279.29850000000005,100.0
142,Sell,50.0,2016-02-06 12:00:00,-252.25150000000005,50.0
143,Sell,50.0,2016-02-06 12:30:00,-225.96950000000004,0.0
144,Buy,50.0,2016-02-06 21:00:00,-256.07950000000005,50.0
145,Buy,50.0,2016-02-06 21:30:00,-285.49950000000007,100.0
146,Sell,50.0,2016-02-07 12:00:00,-261.11300000000006,50.0
147,Sell,50.0,2016-02-07 12:30:00,-237.16000000000005,0.0
148,Buy,50.0,2016-02-07 21:00:00,-269.07000000000005,50.0
149,Buy,50.0,2016-02-07 21:30:00,-299.32000000000005,100.0
150,Sell,50.0,2016-02-08 12:00:00,-262.88050000000004,50.0
151,Sell,50.0,2016-02-08 12:30:00,-227.61400000000003,0.0
152,Buy,50.0,2016-02-08 21:00:00,-260.514,50.0
153,Buy,50.0,2016-02-08 21:30:00,-292.714,100.0
154,Sell,50.0,2016-02-09 12:00:00,-268.472,50.0
155,Sell,50.0,2016-02-09 12:30:00,-244.54449999999997,0.0
156,Buy,50.0,2016-02-09 21:00:00,-277.0245,50.0
157,Buy,50.0,2016-02-09 21:30:00,-308.4045,100.0
158,Sell,50.0,2016-02-10 12:00:00,-281.043,50.0
159,Sell,50.0,2016-02-10 12:30:00,-254.31900000000002,0.0
160,Buy,50.0,2016-02-10 21:00:00,-286.509,50.0
161,Buy,50.0,2016-02-10 21:30:00,-318.009,100.0
162,Sell,50.0,2016-02-11 12:00:00,-293.12100000000004,50.0
163,Sell,50.0,2016-02-11 12:30:00,-267.7825,0.0
164,Buy,50.0,2016-02-11 21:00:00,-301.51250000000005,50.0
165,Buy,50.0,2016-02-11 21:30:00,-332.63250000000005,100.0
166,Sell,50.0,2016-02-12 12:00:00,-309.4870000000001,50.0
167,Sell,50.0,2016-02-12 12:30:00,-286.9790000000001,0.0
168,Buy,50.0,2016-02-12 21:00:00,-319.3990000000001,50.0
169,Buy,50.0,2016-02-12 21:30:00,-352.1690000000001,100.0
170,Sell,50.0,2016-02-13 12:00:00,-326.6775000000001,50.0
171,Sell,50.0,2016-02-13 12:30:00,-300.99900000000014,0.0
172,Buy,50.0,2016-02-13 21:00:00,-334.17900000000014,50.0
173,Buy,50.0,2016-02-13 21:30:00,-367.05900000000014,100.0
174,Sell,50.0,2016-02-14 12:00:00,-340.4370000000001,50.0
175,Sell,50.0,2016-02-14 12:30:00,-313.99350000000015,0.0
176,Buy,50.0,2016-02-14 21:00:00,-345.37350000000015,50.0
177,Buy,50.0,2016-02-14 21:30:00,-375.33350000000013,100.0
178,Sell,50.0,2016-02-15 12:00:00,-350.8535000000001,50.0
179,Sell,50.0,2016-02-15 12:30:00,-326.1780000000001,0.0
180,Buy,50.0,2016-02-15 21:00:00,-362.3380000000001,50.0
181,Buy,50.0,2016-02-15 21:30:00,-396.10800000000006,100.0
